"Flows from January 01, 2000 to March 31, 2023",,,,,,,
,,,,,,,
Query Type:,FLOWS,,,,,,
Data Points:,"GRA Purchases, GRA Repurchases, GRA Charges",,,,,,
Members:,"Afghanistan, Islamic Republic of, Albania, Algeria, Andorra, Angola, Antigua and Barbuda, Argentina, Armenia, Republic of, Australia, Austria, Azerbaijan, Bahamas, The, Bahrain, Kingdom of, Bangladesh, Barbados, Belarus, Republic of, Belgium, Belize, Benin, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Brazil, Brunei Darussalam, Bulgaria, Burkina Faso, Burundi, Cabo Verde, Cambodia, Cameroon, Canada, Central African Republic, Chad, Chile, China, Colombia, Comoros, Congo, Democratic Republic of, Congo, Republic of, Costa Rica, Cote d'Ivoire, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Republic of, Eswatini, The Kingdom of, Ethiopia, Fiji, Finland, France, Gabon, Gambia, The, Georgia, Germany, Ghana, Greece, Grenada, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Honduras, HKMA, Hungary, Iceland, India, Indonesia, Iran, Islamic Republic of, Iraq, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Republic of, Kenya, Kiribati, Korea, Kosovo, Kuwait, Kyrgyz Republic, Lao People's Democratic Republic, Latvia, Republic of, Lebanon, Lesotho, Liberia, Libya, Lithuania, Republic of, Luxembourg, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Mauritania, Mauritius, Mexico, Micronesia, Federated States of, Moldova, Republic of, Mongolia, Montenegro, Republic of, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, Netherlands, The, New Zealand, Nicaragua, Niger, Nigeria, North Macedonia, Republic of, Norway, Oman, Pakistan, Palau, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Poland, Republic of, Portugal, Qatar, Romania, Russian Federation, Rwanda, Samoa, San Marino, Republic of, Sao Tome & Principe, Saudi Arabia, Senegal, Serbia, Republic of, Seychelles, Sierra Leone, Singapore, Slovak Republic, Slovenia, Republic of, Solomon Islands, Somalia, South Africa, South Sudan, Spain, Sri Lanka, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, Sudan, Suriname, Sweden, Switzerland, Syrian Arab Republic, Tajikistan, Republic of, Tanzania, Thailand, Timor-Leste, The Democratic Republic of, Togo, Tonga, Trinidad and Tobago, Tunisia, TÃ¼rkiye, Republic of, Turkmenistan, Republic of, Tuvalu, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States, Uruguay, Uzbekistan, Republic of, Vanuatu, Venezuela, Vietnam, Yemen, Republic of, Zambia, Zimbabwe",,,,,,
Start Date:,1/1/2000,,,,,,
End Date:,3/31/2023,,,,,,
Output Options:,FLOWS_DETAILS,,,,,,
,,,,,,,
Flow Type,Member,Member Code,Description,Transaction Value Date,Amount,Original Disbursement Date,Original Arrangement Date
GRA Charges,Belgium,BEL,Basic Rate for EAR Deposit,4/30/2003,1994520,n.a.,n.a.
GRA Repurchases,Algeria,DZA,Compensatory Financing Facility,8/31/2002,27937500,6/1/1999,n.a.
GRA Repurchases,Algeria,DZA,Compensatory Financing Facility,11/30/2002,27937500,6/1/1999,n.a.
GRA Repurchases,Algeria,DZA,Compensatory Financing Facility,2/28/2003,27937500,6/1/1999,n.a.
GRA Repurchases,Algeria,DZA,Compensatory Financing Facility,5/30/2003,27937500,6/1/1999,n.a.
GRA Repurchases,Algeria,DZA,Compensatory Financing Facility,8/28/2003,27937500,6/1/1999,n.a.
GRA Repurchases,Algeria,DZA,Compensatory Financing Facility,11/26/2003,10000000,6/1/1999,n.a.
GRA Repurchases,Algeria,DZA,Compensatory Financing Facility,11/28/2003,17937500,6/1/1999,n.a.
GRA Repurchases,Algeria,DZA,Compensatory Financing Facility,2/27/2004,27937500,6/1/1999,n.a.
GRA Repurchases,Algeria,DZA,Compensatory Financing Facility,5/28/2004,27937500,6/1/1999,n.a.
GRA Repurchases,Azerbaijan,AZE,Compensatory Financing Facility,4/27/2002,7039375,1/28/1999,n.a.
GRA Repurchases,Azerbaijan,AZE,Compensatory Financing Facility,7/27/2002,7039375,1/28/1999,n.a.
GRA Repurchases,Azerbaijan,AZE,Compensatory Financing Facility,10/27/2002,7039375,1/28/1999,n.a.
GRA Repurchases,Azerbaijan,AZE,Compensatory Financing Facility,1/27/2003,7039375,1/28/1999,n.a.
GRA Repurchases,Azerbaijan,AZE,Compensatory Financing Facility,4/27/2003,7039375,1/28/1999,n.a.
GRA Repurchases,Azerbaijan,AZE,Compensatory Financing Facility,7/25/2003,7039375,1/28/1999,n.a.
GRA Repurchases,Azerbaijan,AZE,Compensatory Financing Facility,10/27/2003,7039375,1/28/1999,n.a.
GRA Repurchases,Azerbaijan,AZE,Compensatory Financing Facility,1/27/2004,7039375,1/28/1999,n.a.
GRA Repurchases,Bulgaria,BGR,Compensatory Financing Facility,7/15/2000,8000000,4/16/1997,n.a.
GRA Repurchases,Bulgaria,BGR,Compensatory Financing Facility,10/15/2000,8000000,4/16/1997,n.a.
GRA Repurchases,Bulgaria,BGR,Compensatory Financing Facility,1/15/2001,8000000,4/16/1997,n.a.
GRA Repurchases,Bulgaria,BGR,Compensatory Financing Facility,4/15/2001,8000000,4/16/1997,n.a.
GRA Repurchases,Bulgaria,BGR,Compensatory Financing Facility,7/15/2001,8000000,4/16/1997,n.a.
GRA Repurchases,Bulgaria,BGR,Compensatory Financing Facility,10/15/2001,8000000,4/16/1997,n.a.
GRA Repurchases,Bulgaria,BGR,Compensatory Financing Facility,1/15/2002,8000000,4/16/1997,n.a.
GRA Repurchases,Bulgaria,BGR,Compensatory Financing Facility,4/15/2002,8000000,4/16/1997,n.a.
GRA Repurchases,"Congo, Democratic Republic of",COD,Compensatory Financing Facility,6/12/2002,5662500,5/15/1987,n.a.
