,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross Domestic Product, Nominal, Undjusted, Domestic Currency","Gross Domestic Product, Nominal, Undjusted, Domestic Currency","Gross Domestic Product, Nominal, Undjusted, Domestic Currency","Gross Domestic Product, Nominal, Undjusted, Domestic Currency","Gross Domestic Product, Nominal, Undjusted, Domestic Currency","Gross Domestic Product, Nominal, Undjusted, Domestic Currency","Gross Domestic Product, Nominal, Undjusted, Domestic Currency","Gross Domestic Product, Nominal, Undjusted, Domestic Currency","Gross Domestic Product, Nominal, Undjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Scale,Base Year,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
,Albania,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"237,900.60","278,906.78","275,710.74","288,157.93","255,422.33","308,661.54","289,559.39","290,294.20","271,334.64","326,212.76","313,474.19","328,624.00","296,570.07","327,168.48","324,062.84","352,822.68","298,737.36","346,824.53","335,372.22","351,876.87","311,321.44","359,025.56","325,849.15","353,856.49","315,138.28","370,523.99","348,623.70","361,018.67","318,751.60","383,682.31","360,197.17","371,675.43","332,992.62","385,327.70","366,009.95","388,148.86","351,367.23","410,217.25","385,200.98","403,860.02","374,540.61","431,994.02","409,247.35","420,947.63","384,991.55","447,898.13","430,793.32","428,220.44","381,614.49","394,177.53","422,959.53","445,325.72","413,530.33","502,467.20","476,173.44","497,668.15","486,800.59","574,631.33","561,669.24",...,...
,Algeria,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,017,928.91","5,123,379.45","5,162,965.25","5,089,250.80","5,177,600.00","5,165,300.00","5,133,600.00","5,023,700.00","4,937,600.00","4,371,200.00","4,530,100.00","4,638,100.00","5,337,100.00","5,301,800.00","5,531,300.00","5,909,100.00","6,654,000.00","6,868,600.00",...,...,...
,Argentina,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"109,799.00","127,374.70","122,115.60","125,826.00","127,675.90","151,442.90","147,554.90","155,864.50","160,890.60","181,997.30","182,324.90","190,691.50","193,596.90","226,087.60","228,526.00","248,769.60","258,089.20","303,470.90","295,923.10","292,163.00","278,076.90","312,866.20","317,433.70","339,552.50","354,714.50","421,516.70","428,208.60","457,281.10","472,206.80","559,281.00","562,621.80","584,914.50","586,389.90","662,774.50","676,206.90","712,542.50","722,245.20","846,952.70","859,136.60","919,973.90","979,412.20","1,175,657.40","1,171,375.80","1,252,641.00","1,273,173.40","1,487,869.70","1,555,432.70","1,638,035.10","1,751,661.30","2,103,639.10","2,131,907.20","2,240,952.00","2,310,219.40","2,639,552.10","2,779,105.60","2,931,351.40","3,114,447.60","3,607,848.50","3,819,068.90","4,203,445.70","4,371,027.20","5,308,389.50","5,575,971.00","6,303,056.40","6,259,136.30","5,977,985.10","6,860,609.60","8,097,968.00","9,257,847.40","11,613,884.50","11,806,444.00","13,603,890.10","15,058,303.60","19,576,427.40","22,178,632.70","25,836,876.20",...
,"Armenia, Rep. of",Millions,,"124,683.70","198,020.60","308,304.30","324,376.20","130,017.40","216,174.00","324,639.70","314,604.90","168,630.40","230,501.60","298,851.30","333,355.00","193,072.40","248,649.80","355,968.10","378,186.50","208,965.70","261,648.10","435,164.80","456,693.10","239,902.70","326,244.50","512,679.60","545,815.90","274,650.60","391,161.10","620,710.20","621,423.50","319,108.90","477,965.00","705,748.00","740,059.00","357,200.30","590,237.50","859,153.70","849,598.30","422,193.70","682,543.30","1,028,875.70","1,015,670.70","509,579.10","784,606.90","1,249,441.10","1,024,600.50","493,759.40","659,326.80","980,348.10","1,008,216.70","544,363.50","735,781.20","1,048,796.70","1,131,261.30","612,136.60","816,107.80","1,146,589.90","1,203,111.30","658,957.80","886,235.40","1,217,522.30","1,238,006.50","784,166.20","978,205.10","1,363,072.30","1,430,194.60","814,938.40","1,030,592.90","1,443,501.10","1,539,593.90","879,565.70","1,105,248.02","1,523,902.70","1,534,916.80","893,634.20","1,132,260.60","1,525,628.40","1,515,770.30","971,041.00","1,212,700.80","1,587,405.40","1,793,346.10","1,115,563.90","1,362,703.90","1,687,018.40","1,851,749.00","1,242,121.80","1,484,958.10","1,822,640.10","1,993,601.80","1,263,058.80","1,274,458.70","1,743,630.80","1,900,754.30","1,278,566.60","1,576,104.40","1,907,325.20","2,220,966.30","1,484,736.90","1,899,153.40","2,379,137.10","2,733,750.50",...
,Australia,Millions,,"142,430.00","148,661.00","151,535.00","162,463.00","151,071.00","156,320.00","159,723.00","170,618.00","162,961.00","168,857.00","173,792.00","181,587.00","173,069.00","178,448.00","182,969.00","195,943.00","184,536.00","192,586.00","196,482.00","208,957.00","194,920.00","202,334.00","207,904.00","225,158.00","210,550.00","220,008.00","224,449.00","239,713.00","224,266.00","236,499.00","243,065.00","260,525.00","241,678.00","253,636.00","262,885.00","281,353.00","264,767.00","279,280.00","284,696.00","304,585.00","284,910.00","304,962.00","315,742.00","330,772.00","302,775.00","311,972.00","313,928.00","334,905.00","314,787.00","340,397.00","345,391.00","365,425.00","341,106.00","366,482.00","372,786.00","388,307.00","358,329.00","380,754.00","379,772.00","396,438.00","369,468.00","390,820.00","392,702.00","415,782.00","386,681.00","403,433.00","401,849.00","421,266.00","391,926.00","408,265.00","410,694.00","427,370.00","397,786.00","421,687.00","423,682.00","456,364.00","429,619.00","449,164.00","451,522.00","471,974.00","446,205.00","472,934.00","475,918.00","500,497.00","470,865.00","499,334.00","502,237.00","521,250.00","486,662.00","469,323.00","486,409.00","530,514.00","511,442.00","552,054.00","542,477.00","585,028.00","565,321.00","615,659.00","613,616.00","656,429.00",...
,Austria,Millions,,"46,417.40","49,303.98","49,557.30","51,067.93","48,099.37","50,867.21","51,625.14","53,258.86","50,660.13","53,226.02","53,588.74","56,131.59","52,479.44","55,282.01","55,193.79","57,569.83","53,691.90","56,905.16","57,213.79","58,924.37","55,391.18","58,012.37","58,254.03","60,204.89","57,007.91","60,126.36","61,252.86","63,961.13","59,436.92","63,511.05","64,068.80","67,058.27","63,094.84","66,380.62","67,499.27","70,849.72","66,697.92","70,832.72","71,132.16","75,315.17","69,990.94","74,452.06","73,807.66","75,511.24","68,570.68","71,443.56","72,195.71","75,834.07","69,190.21","73,490.41","74,453.42","78,762.61","73,518.31","77,337.50","78,092.60","81,180.24","76,233.61","79,368.37","79,558.18","83,492.89","77,118.61","80,679.28","81,143.58","84,968.73","78,975.26","83,235.72","83,365.83","87,569.25","81,812.39","85,599.74","86,296.66","90,560.45","86,018.24","89,349.79","88,843.76","93,396.16","88,273.63","91,933.23","92,062.30","97,092.71","92,929.05","95,423.38","95,349.54","101,572.12","96,141.99","98,611.96","98,832.90","103,582.69","95,127.24","88,533.80","96,845.19","100,536.26","92,140.61","101,311.90","104,260.17","108,435.99","104,271.40","112,706.98","112,296.12","118,378.20",...
,"Azerbaijan, Rep. of",Millions,,...,...,...,...,...,...,...,...,...,...,...,...,"1,087.10","1,306.90","1,516.40","1,405.20","1,238.90","1,386.50","1,742.40","1,694.70","1,453.60","1,741.70","2,030.10","1,921.10","1,682.30","2,093.40","2,352.30","2,402.20","2,371.20","2,846.40","3,707.60","3,597.30","3,468.20","4,132.80","5,790.10","5,355.10","5,801.50","6,795.00","7,590.20","8,173.80","9,035.30","10,356.80","11,011.20","9,733.90","6,964.80","8,431.60","9,922.30","10,282.80","9,629.50","10,771.80","10,672.20","11,391.50","10,751.80","12,326.10","12,721.10","16,283.00","12,964.60","13,090.30","14,235.10","14,453.70","12,917.50","13,919.20","15,466.00","15,879.30","13,117.10","15,292.10","15,870.90","14,734.00","11,538.70","14,192.20","14,118.10","14,531.00","12,817.00","15,186.80","15,764.20","16,657.20","15,475.50","17,422.60","18,037.50","19,402.20","17,466.60","19,417.60","20,265.40","22,942.40","18,195.10","20,214.00","20,170.40","23,316.70","18,043.60","16,813.20","18,103.10","19,618.20","19,393.40","21,820.50","23,571.00","28,418.30","29,676.70","33,712.90","34,804.20","35,632.00",...
,"Bahamas, The",Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,973.08","3,042.91","2,897.17","2,948.70","2,979.71","3,028.09","2,924.98","2,901.79","3,057.16","3,359.27","2,973.67","2,967.54","3,349.66","3,250.29","3,004.05","3,151.76","3,375.49","3,662.78","3,067.29","3,087.21","2,915.56","2,247.26","2,189.77","2,346.92","2,425.42","2,879.59","2,975.76","2,927.80",...,...,...,...,...
,"Belarus, Rep. of",Millions,,11.26,14.10,19.10,25.75,39.66,61.44,92.97,108.53,131.93,183.91,277.96,319.58,319.80,393.62,507.44,496.46,492.43,616.32,768.58,736.50,704.71,856.52,"1,057.53","1,037.72",981.65,"1,177.66","1,450.94","1,388.93","1,310.68","1,523.51","1,865.26","1,807.26","1,614.27","1,861.90","2,255.16","2,195.37","1,991.81","2,275.69","2,737.22","2,711.81","2,627.61","3,094.34","3,846.67","3,410.46","2,918.41","3,301.08","4,162.10","3,827.54","3,290.84","3,922.88","5,000.57","4,832.29","4,660.53","6,461.96","8,611.72","10,990.29","10,621.92","13,750.47","14,797.06","15,592.22","13,701.36","16,372.03","18,573.68","18,421.78","16,670.21","19,125.68","22,635.56","22,147.82","19,821.31","21,597.59","24,524.41","23,966.50","21,121.70","23,052.50","25,720.60","25,054.20","22,652.40","25,341.20","28,569.20","29,185.40","26,766.10","29,341.80","33,127.30","33,084.50","29,566.30","32,163.00","36,871.90","36,130.90","33,002.50","34,398.00","40,886.00","41,434.30","37,529.70","41,861.80","47,872.60","49,614.90","43,395.50","43,777.40","52,305.70",...,...
