,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross Domestic Product, Real, Undjusted, Domestic Currency","Gross Domestic Product, Real, Undjusted, Domestic Currency","Gross Domestic Product, Real, Undjusted, Domestic Currency","Gross Domestic Product, Real, Undjusted, Domestic Currency","Gross Domestic Product, Real, Undjusted, Domestic Currency","Gross Domestic Product, Real, Undjusted, Domestic Currency","Gross Domestic Product, Real, Undjusted, Domestic Currency","Gross Domestic Product, Real, Undjusted, Domestic Currency","Gross Domestic Product, Real, Undjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Scale,Base Year,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
,Albania,Millions,2010,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"269,876.46","324,847.76","300,394.59","300,216.97","275,515.64","331,417.60","314,084.84","318,627.51","292,453.21","326,116.34","320,194.58","332,434.43","289,706.39","340,189.06","324,852.92","334,469.76","295,153.94","350,072.88","316,101.54","340,807.57","300,619.91","353,068.72","331,024.26","340,529.27","305,647.36","359,436.85","341,312.21","348,250.91","316,991.08","370,725.69","349,228.17","362,608.84","330,192.94","386,196.47","361,366.38","375,011.78","343,744.72","402,573.00","377,934.78","386,906.84","350,923.04","410,363.14","394,495.96","386,925.84","343,860.57","364,768.56","382,227.59","398,139.87","358,336.11","429,082.01","408,277.79","420,096.21","381,166.95","440,449.19","424,672.22",...,...
,Argentina,Millions,2004,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"115,092.40","128,598.90","120,288.00","121,135.90","123,400.60","145,417.10","128,674.40","130,563.80","133,087.10","153,519.10","140,744.70","143,198.50","144,211.70","168,655.10","152,606.40","156,469.20","154,180.10","177,851.40","161,772.00","153,372.70","144,638.30","157,799.40","152,630.00","153,805.20","152,901.80","183,432.70","167,141.60","167,047.50","165,581.40","191,583.20","177,854.30","175,762.60","168,171.50","182,709.60","175,865.40","176,739.50","169,271.40","194,121.70","180,364.70","176,649.30","167,766.50","190,144.20","172,719.90","171,675.40","168,187.50","197,809.00","179,570.30","175,920.40","169,413.00","190,175.80","173,595.60","173,293.40","170,361.20","194,600.40","180,280.10","181,148.20","176,831.10","186,857.10","174,025.40","169,663.90","166,462.20","187,946.10","170,975.20","167,840.30","158,183.30","152,112.70","153,583.90","160,415.00","163,140.80","179,710.80","171,694.60","174,664.50","172,909.60","192,555.00","181,866.30","178,015.50",...
,Australia,Millions,2020-21,"265,399.00","273,663.00","280,619.00","301,120.00","278,837.00","286,540.00","292,449.00","308,840.00","290,998.00","299,581.00","302,095.00","313,525.00","296,467.00","304,112.00","309,821.00","328,829.00","306,568.00","319,551.00","322,905.00","339,982.00","314,546.00","326,688.00","332,398.00","355,844.00","328,996.00","341,873.00","345,906.00","365,294.00","338,578.00","352,196.00","356,365.00","376,571.00","346,793.00","360,668.00","367,475.00","387,002.00","361,560.00","378,777.00","383,098.00","402,456.00","372,236.00","390,363.00","391,372.00","408,813.00","379,303.00","397,623.00","398,283.00","418,540.00","386,373.00","408,716.00","408,821.00","429,428.00","394,093.00","418,116.00","420,955.00","443,612.00","412,933.00","437,359.00","436,254.00","455,548.00","421,963.00","445,316.00","445,383.00","467,202.00","434,408.00","457,454.00","456,796.00","476,198.00","444,328.00","465,971.00","468,215.00","487,747.00","456,049.00","481,614.00","477,506.00","501,188.00","465,809.00","492,337.00","493,049.00","511,638.00","479,650.00","508,345.00","506,349.00","524,322.00","489,851.00","515,428.00","515,590.00","536,590.00","498,322.00","484,411.00","499,601.00","536,924.00","508,942.00","534,951.00","519,604.00","561,568.00","522,979.00","552,693.00","549,664.00","576,847.00",...
,Austria,Millions,2010,"56,214.80","59,380.93","60,055.22","61,681.35","57,787.09","61,233.45","62,430.66","64,321.44","60,514.67","63,288.59","63,844.18","66,421.78","62,160.63","64,234.86","64,479.81","66,413.40","62,918.45","65,452.13","66,042.51","67,124.88","63,520.33","65,828.86","66,619.06","68,032.04","64,459.00","67,473.19","68,920.76","70,368.04","65,617.34","69,171.78","70,150.37","72,367.88","68,578.51","70,892.70","72,349.64","75,064.83","71,038.90","74,056.21","74,806.17","77,677.82","73,078.64","76,277.10","76,033.24","76,536.03","70,295.84","71,749.00","72,963.03","75,550.93","70,038.65","73,077.29","74,826.99","77,953.71","73,152.26","75,469.47","76,845.28","79,078.09","74,581.67","76,023.95","76,785.89","79,225.85","74,318.84","75,996.37","76,962.02","79,418.34","74,760.98","76,834.89","77,390.55","79,737.25","75,574.20","77,171.18","78,364.10","80,746.20","77,133.12","78,723.89","79,442.37","82,760.48","79,053.26","80,447.18","81,293.77","84,449.24","81,311.64","82,327.41","82,797.00","86,695.82","83,319.75","83,791.01","84,261.80","86,814.21","80,666.75","72,703.06","80,643.30","82,347.19","76,346.50","82,144.21","85,012.96","87,272.71","83,513.29","87,432.05","86,789.27","89,570.47",...
