International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
Argentina,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,"118,830.30","117,597.80","123,519.00","125,168.00","128,796.40","131,642.20","132,580.10","135,037.20","138,573.60","140,377.40","144,270.20","147,328.20","150,787.60","154,091.10","156,144.90","160,919.00","162,455.00","163,284.20","164,557.70","156,879.30","151,119.00","147,708.40","153,561.40","156,484.10","161,189.90","168,327.80","169,360.10","171,645.80","175,644.20","177,380.70","178,863.80","178,892.90","176,936.30","170,980.50","176,278.00","179,291.20","179,226.50","180,310.50","181,292.60","179,577.40","176,886.20","175,807.80","174,319.20","175,292.90","177,867.30","181,902.90","181,890.90","179,826.00","178,226.70","175,253.40","175,977.00","177,020.60","178,600.70","180,457.10","182,750.20","184,581.90","183,940.40","175,576.90","175,119.40","172,740.70","172,802.10","174,192.70","174,330.40","171,898.70","164,446.10","139,837.90","156,211.10","163,799.80","169,338.40","167,878.10","173,911.20","178,083.00","179,692.90","181,142.20","183,669.90","180,841.30",
Australia,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","274,462.00","277,018.00","282,291.00","286,568.00","288,661.00","289,598.00","292,952.00","297,924.00","299,121.00","301,871.00","302,709.00","301,586.00","304,710.00","307,195.00","310,801.00","314,584.00","316,953.00","322,431.00","323,397.00","326,034.00","326,649.00","328,040.00","333,753.00","339,284.00","341,882.00","344,192.00","346,828.00","349,417.00","352,071.00","353,658.00","357,642.00","360,394.00","360,767.00","361,594.00","366,981.00","371,675.00","376,825.00","379,333.00","383,604.00","385,175.00","389,046.00","390,328.00","392,977.00","391,350.00","394,957.00","397,827.00","399,179.00","402,219.00","403,936.00","406,577.00","409,344.00","412,821.00","411,518.00","416,775.00","422,471.00","427,027.00","431,099.00","434,262.00","436,775.00","438,872.00","440,847.00","442,586.00","446,167.00","449,767.00","453,176.00","455,338.00","457,366.00","459,033.00","463,243.00","463,652.00","468,435.00","471,248.00","475,461.00","478,482.00","478,962.00","483,900.00","485,494.00","488,485.00","493,166.00","495,335.00","500,175.00","504,005.00","506,317.00","507,235.00","510,008.00","512,390.00","516,158.00","518,390.00","517,516.00","482,850.00","501,568.00","517,709.00","528,559.00","532,583.00","522,168.00","541,273.00","544,364.00","549,274.00","553,036.00","555,690.00",
Austria,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","58,489.38","59,071.83","59,497.88","59,716.25","60,106.61","60,893.49","61,905.00","62,079.03","62,654.59","63,151.65","63,504.13","64,319.76","64,173.47","64,123.95","64,149.90","64,385.42","65,030.44","65,373.97","65,521.06","65,305.38","65,736.25","65,858.51","66,026.97","66,132.95","66,785.28","67,293.03","68,066.85","68,299.24","68,180.20","69,046.27","69,509.74","70,122.26","70,946.39","71,066.54","72,018.16","72,636.67","73,460.66","74,209.18","74,445.46","75,077.14","75,690.81","76,296.85","75,805.18","74,089.56","72,771.54","72,198.98","72,470.19","72,950.91","72,624.93","73,558.86","74,268.31","75,117.43","75,720.31","76,031.99","76,405.94","76,380.30","77,041.63","76,713.88","76,540.65","76,479.54","76,421.37","76,418.36","76,794.96","77,089.36","76,934.85","77,410.09","77,324.78","77,508.13","77,654.21","77,791.24","78,269.93","78,455.26","79,071.78","79,254.07","79,649.75","80,415.30","80,662.48","81,192.56","81,747.93","82,204.13","82,842.49","83,007.50","83,417.99","84,386.66","84,829.60","84,436.11","84,919.77","84,473.01","82,394.98","72,975.77","81,261.18","79,848.35","78,837.59","82,092.36","85,577.07","84,930.07","85,620.60","87,396.38","87,478.13","87,447.29",
Belgium,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","71,011.36","71,247.49","71,455.73","71,615.62","72,363.98","73,354.05","74,419.41","75,300.71","75,836.18","76,381.88","76,736.07","77,486.29","77,529.98","77,543.93","77,396.12","77,318.96","77,983.65","78,651.13","79,072.25","79,367.88","79,158.71","79,327.90","79,652.35","80,206.41","81,408.43","82,191.19","82,907.94","83,203.57","83,641.43","84,142.50","84,475.31","85,123.27","85,646.66","85,950.65","86,707.37","87,691.86","88,934.79","89,341.04","90,030.83","90,396.18","90,786.63","90,844.26","90,313.44","88,354.69","87,494.78","87,536.61","88,642.88","89,354.05","89,817.01","90,702.03","91,080.39","91,540.56","91,981.21","92,171.79","92,435.81","92,705.40","92,904.34","92,903.41","93,129.32","93,086.55","92,830.90","93,372.88","93,662.00","93,866.52","94,269.98","94,520.05","95,172.66","95,670.02","96,167.37","96,813.47","96,998.47","97,402.86","97,458.64","97,994.11","98,166.10","98,669.96","99,313.27","99,553.12","99,488.97","100,286.60","100,660.32","101,115.84","101,510.94","102,502.86","102,766.88","103,327.45","104,079.53","104,707.96","101,700.58","90,108.92","100,679.84","100,149.02","101,515.58","103,268.88","105,668.28","106,270.68","106,874.02","107,455.04","107,681.88","107,799.01",
Brazil,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","185,423.60","188,546.30","188,539.10","186,365.90","186,714.60","187,671.90","187,698.30","190,348.80","192,370.20","195,065.00","197,358.80","199,764.10","200,551.10","199,551.20","198,499.20","197,943.30","202,753.70","203,422.10","206,178.60","208,250.10","207,320.10","205,614.00","207,538.80","209,673.70","212,561.00","218,486.40","221,228.50","222,898.10","224,740.70","227,399.10","225,949.30","228,758.90","232,555.90","233,273.30","237,066.40","239,858.40","244,467.60","248,538.40","251,018.20","254,906.30","258,028.90","263,449.80","267,633.70","257,541.50","253,880.50","258,508.60","264,576.80","271,364.20","277,040.50","280,504.30","283,015.20","286,993.30","290,934.20","293,824.90","293,209.80","295,733.50","291,664.30","296,892.30","301,983.90","302,049.00","303,570.50","308,054.10","309,418.70","309,844.80","312,449.10","307,853.40","307,729.20","309,308.20","306,807.20","299,583.00","294,748.80","292,437.20","288,059.00","289,107.10","287,561.40","287,046.40","290,123.70","292,480.40","293,255.30","294,605.00","296,456.60","296,393.30","299,185.70","298,137.60","299,086.20","301,057.50","301,285.60","303,240.90","296,540.70","270,705.10","292,228.90","302,078.10","305,247.10","304,321.40","305,267.20","308,506.20","312,619.10","315,439.20","316,316.50","315,617.40",
Bulgaria,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","12,934.58","12,089.55","12,183.24","12,002.57","11,723.49","11,413.83","11,317.96","10,702.34","11,781.65","11,891.39","11,991.36","12,100.06","12,195.71","12,314.79","12,476.13","12,642.16","12,840.41","13,039.31","13,232.61","13,368.91","13,556.64","13,691.97","13,855.17","14,131.57","14,308.55","14,588.28","14,890.99","15,100.72","15,414.81","15,631.53","15,837.05","16,098.37","16,350.12","16,634.37","16,983.48","17,262.48","17,511.53","17,849.95","18,080.52","18,465.24","18,766.43","18,989.70","19,206.24","19,305.31","18,452.01","18,469.22","18,629.06","18,055.75","18,314.87","18,615.88","18,758.83","18,942.73","18,955.67","19,138.08","19,157.36","19,140.28","19,265.30","19,217.45","19,172.43","19,113.60","19,060.32","19,024.55","19,100.02","19,129.10","19,122.62","19,243.62","19,321.12","19,494.39","19,691.13","19,833.88","20,049.55","20,179.24","20,337.03","20,490.92","20,592.12","20,785.90","20,910.54","21,055.21","21,199.09","21,330.63","21,429.44","21,615.62","21,836.74","22,029.50","22,305.61","22,556.04","22,598.33","22,860.68","21,995.91","20,933.06","21,684.60","22,078.79","22,685.94","22,979.91","23,417.65","23,758.72","23,856.05","24,040.67","24,193.87",,
Canada,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","324,449.50","324,622.80","327,577.50","332,034.80","338,057.30","340,885.30","346,219.00","351,089.30","356,705.80","360,945.50","364,616.30","365,240.50","367,175.00","368,164.50","367,919.30","370,159.30","375,653.30","377,867.30","381,137.50","383,228.50","385,349.00","384,780.80","386,218.50","388,883.30","391,684.30","396,336.80","401,015.30","403,896.30","405,294.00","408,234.50","413,179.80","417,265.00","420,649.00","420,866.30","422,041.50","423,723.80","426,434.00","430,565.80","432,373.50","432,864.80","433,196.50","434,763.30","438,328.50","433,246.00","423,456.00","418,835.00","420,719.50","425,625.80","430,760.30","433,014.30","436,083.00","440,956.30","444,287.00","445,152.50","451,294.00","454,848.00","455,139.50","456,624.00","457,246.00","458,191.50","462,301.50","464,984.50","468,774.00","473,698.80","474,473.00","478,806.50","483,398.50","486,743.50","484,068.80","482,751.30","484,458.80","484,821.50","487,480.80","485,083.80","490,086.00","492,837.80","498,194.50","503,291.30","505,414.50","508,032.50","512,479.00","516,502.50","520,067.00","521,839.80","522,209.00","527,369.00","529,341.50","531,071.80","519,768.80","462,967.00","504,717.00","515,470.00","522,217.00","519,143.30","526,571.50","535,373.50","538,544.30","543,293.00","546,423.00","546,477.50",
Chile,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","22,825,628.90","23,212,833.20","23,056,914.00","22,310,621.50","22,314,903.80","22,375,787.10","22,847,809.50","23,449,635.20","23,671,182.80","23,723,660.40","24,092,776.80","24,375,535.90","24,545,366.80","24,783,147.20","24,724,883.20","24,879,314.90","25,087,662.90","25,291,740.60","25,567,252.90","25,938,818.00","26,307,422.30","26,585,932.80","26,761,193.90","26,906,406.20","27,473,126.50","28,001,274.00","28,734,395.40","29,200,542.30","29,233,578.00","29,719,078.10","30,441,643.50","30,807,653.00","31,086,268.50","31,731,555.10","32,163,532.90","32,850,170.10","33,187,233.00","33,524,647.90","33,616,815.60","34,248,724.40","34,970,442.90","35,004,965.90","34,719,712.80","34,440,898.10","34,273,389.80","34,073,795.70","34,481,452.10","34,905,582.40","35,018,501.50","36,206,825.50","37,056,738.00","37,497,663.30","37,934,756.90","38,479,805.10","38,726,610.30","39,568,859.20","40,382,123.50","41,130,619.50","41,450,259.70","41,696,323.50","42,055,734.20","42,405,489.20","42,670,655.40","42,801,648.40","42,934,325.40","43,263,004.40","43,090,906.80","43,561,826.20","43,843,797.00","44,232,210.00","44,108,257.30","44,384,517.50","44,906,852.90","44,692,016.10","44,993,372.70","44,894,172.00","44,650,482.60","45,187,999.80","46,076,069.40","46,378,834.80","46,878,468.30","47,502,671.70","47,323,416.10","47,920,722.00","47,757,534.80","48,299,014.30","48,380,795.90","46,437,791.30","47,690,642.70","41,341,696.50","43,363,500.90","46,261,487.30","48,323,659.20","48,757,036.50","50,872,378.30","52,000,746.60","51,781,500.30","51,425,398.90","50,850,473.60","50,880,070.70",
"China, P.R.: Hong Kong","National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","358,960.00","352,982.00","347,350.00","344,244.00","347,854.00","355,524.00","362,633.00","372,707.00","383,741.00","384,300.00","389,057.00","391,876.00","390,576.00","390,011.00","389,712.00","387,362.00","387,637.00","393,570.00","399,756.00","402,503.00","402,172.00","392,392.00","416,462.00","420,837.00","432,859.00","440,670.00","445,684.00","454,623.00","459,523.00","473,882.00","482,835.00","488,651.00","499,454.00","504,487.00","513,443.00","521,470.00","528,512.00","537,138.00","547,591.00","557,421.00","565,034.00","558,434.00","552,217.00","541,166.00","522,593.00","541,175.00","543,974.00","554,594.00","565,011.00","574,757.00","579,746.00","589,162.00","605,316.00","602,959.00","604,227.00","607,330.00","608,422.00","612,118.00","616,839.00","623,597.00","628,820.00","631,638.00","635,447.00","641,400.00","647,235.00","646,219.00","655,729.00","658,212.00","662,390.00","666,504.00","670,099.00","670,660.00","668,782.00","678,614.00","686,312.00","694,022.00","698,120.00","704,488.00","710,392.00","718,277.00","728,582.00","727,768.00","728,951.00","726,579.00","731,800.00","727,568.00","703,237.00","700,577.00","666,646.00","657,698.00","674,816.00","676,633.00","723,094.00","706,122.00","711,312.00","707,799.00","694,997.00","696,774.00","678,327.00","678,337.00",
Colombia,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126,602,353.10","128,496,954.50","128,724,948.60","131,028,744.00","134,073,128.90","136,100,118.70","138,573,753.70","140,687,998.60","143,136,004.00","145,356,362.80","148,030,622.90","149,934,010.30","150,432,908.70","151,572,955.60","153,201,030.70","150,506,105.00","151,093,334.60","152,636,943.20","153,813,190.20","155,072,532.10","156,786,855.10","159,292,780.70","160,276,162.60","163,795,201.60","167,143,462.80","169,797,967.20","173,054,773.20","174,631,796.80","176,034,798.70","178,367,222.60","177,357,302.00","179,655,676.70","182,324,033.30","186,845,041.70","187,903,713.10","190,866,211.80","193,325,352.00","194,347,203.40","195,868,189.50","198,048,255.10","198,922,335.30","200,984,480.00","202,438,160.80","202,347,023.90","203,711,301.40","204,840,830.80","205,731,717.60","207,205,150.20","206,742,441.10","207,804,243.30","208,379,055.20","209,730,260.40","211,310,205.40","212,382,962.80","214,266,609.90","216,048,221.90","217,911,760.10","219,682,856.50","220,729,905.00","222,899,478.40","218,217,393.00","183,119,852.30","200,652,795.10","215,324,959.60","223,432,682.10","217,211,490.30","227,272,549.00","239,435,278.60","240,804,667.70","243,553,915.90","244,686,639.00","246,319,848.90",
