Facility,Date of Arrangement,Expiration Date,Amount Agreed,Amount Drawn,Amount Outstanding,Country
Exogenous Shock Facility,2009-08-26,2010-11-22,153755,153755,0,Ethiopia
Exogenous Shock Facility,2008-12-10,2010-06-09,66600,33300,0,Kyrgyz Republic
Exogenous Shock Facility,2008-12-03,2009-12-02,52050,34700,0,Malawi
Exogenous Shock Facility,2009-12-04,2011-12-03,8200,2050,0,Maldives
Exogenous Shock Facility,2009-06-30,2010-06-28,113600,113600,0,Mozambique
Exogenous Shock Facility,2008-12-19,2010-06-10,121350,121350,0,Senegal
Exogenous Shock Facility,2009-05-29,2010-06-14,218790,218790,0,Tanzania
Extended Credit Facility,2020-11-06,2022-12-06,259040,184566,184566,"Afghanistan, Islamic Republic of"
Extended Credit Facility,2016-07-20,2019-12-31,32380,32380,30580,"Afghanistan, Islamic Republic of"
Extended Credit Facility,2011-11-14,2014-11-13,85000,24000,0,"Afghanistan, Islamic Republic of"
Extended Credit Facility,2006-06-26,2010-09-25,81000,75350,0,"Afghanistan, Islamic Republic of"
Extended Credit Facility,2006-02-01,2009-01-30,8523,8523,0,Albania
Extended Credit Facility,2002-06-21,2005-11-20,28000,28000,0,Albania
Extended Credit Facility,1998-05-13,2001-07-31,45040,45040,0,Albania
Extended Credit Facility,1993-07-14,1996-07-13,42360,31060,0,Albania
Extended Credit Facility,2010-06-28,2013-07-02,133400,133400,2660,"Armenia, Republic of"
Extended Credit Facility,2008-11-17,2009-03-06,9200,1310,0,"Armenia, Republic of"
Extended Credit Facility,2005-05-25,2008-05-23,23000,23000,0,"Armenia, Republic of"
Extended Credit Facility,2001-05-23,2004-12-31,69000,69000,0,"Armenia, Republic of"
Extended Credit Facility,1996-02-14,1999-12-20,109350,109350,0,"Armenia, Republic of"
Extended Credit Facility,2001-07-06,2005-07-04,67580,54710,0,Azerbaijan
Extended Credit Facility,1996-12-20,2000-03-19,93600,81900,0,Azerbaijan
Extended Credit Facility,2023-01-30,2026-07-29,822820,117450,117450,Bangladesh
Extended Credit Facility,2012-04-11,2015-10-29,639960,639960,164561,Bangladesh
Extended Credit Facility,2003-06-20,2007-06-19,400330,316730,0,Bangladesh
Extended Credit Facility,1990-08-10,1993-09-13,345000,330000,0,Bangladesh
Extended Credit Facility,2022-07-08,2026-01-07,161349,72200,72200,Benin
Extended Credit Facility,2017-04-07,2020-05-19,187433,187433,185841,Benin
Extended Credit Facility,2010-06-14,2014-06-03,74280,74280,4244,Benin
Extended Credit Facility,2005-08-05,2009-06-30,24770,24770,0,Benin
Extended Credit Facility,2000-07-17,2004-03-31,27000,27000,0,Benin
Extended Credit Facility,1996-08-28,2000-07-16,27180,16308,0,Benin
Extended Credit Facility,1993-01-25,1996-05-21,51890,51890,0,Benin
Extended Credit Facility,1998-09-18,2002-06-07,100960,63863,0,Bolivia
Extended Credit Facility,1994-12-19,1998-09-09,100960,100960,0,Bolivia
Extended Credit Facility,1988-07-27,1994-05-31,163260,163260,0,Bolivia
Extended Credit Facility,2018-03-14,2020-11-17,108360,108360,108360,Burkina Faso
Extended Credit Facility,2013-12-27,2017-07-24,55640,55640,33388,Burkina Faso
Extended Credit Facility,2010-06-14,2013-12-23,82274,82274,968,Burkina Faso
Extended Credit Facility,2007-04-23,2010-04-22,48160,47156,0,Burkina Faso
Extended Credit Facility,2003-06-11,2006-09-30,30100,30100,0,Burkina Faso
Extended Credit Facility,1999-09-10,2002-12-09,39120,39120,0,Burkina Faso
Extended Credit Facility,1996-06-14,1999-09-13,39780,39780,0,Burkina Faso
Extended Credit Facility,1993-03-31,1996-05-30,53040,44200,0,Burkina Faso
Extended Credit Facility,2012-01-27,2016-03-31,40000,30000,5000,Burundi
Extended Credit Facility,2008-07-07,2012-01-23,51200,51200,0,Burundi
Extended Credit Facility,2004-01-23,2008-01-22,69300,69300,0,Burundi
Extended Credit Facility,1991-11-13,1994-11-12,42700,17210,0,Burundi
Extended Credit Facility,2022-06-15,2025-06-14,45030,22520,22520,Cabo Verde
Extended Credit Facility,2002-04-10,2005-07-31,8640,8640,0,Cabo Verde
Extended Credit Facility,1999-10-22,2003-02-28,58500,58500,0,Cambodia
Extended Credit Facility,1994-05-06,1997-08-31,84000,42000,0,Cambodia
Extended Credit Facility,2021-07-29,2024-07-28,161000,105800,105800,Cameroon
Extended Credit Facility,2017-06-26,2020-09-30,483000,427800,415380,Cameroon
Extended Credit Facility,2005-10-24,2009-01-16,18570,18570,0,Cameroon
Extended Credit Facility,2000-12-21,2004-12-20,111420,79590,0,Cameroon
Extended Credit Facility,1997-08-20,2000-12-20,162120,162120,0,Cameroon
Extended Credit Facility,2019-12-20,2022-07-11,83550,35808,35808,Central African Republic
Extended Credit Facility,2016-07-20,2019-07-10,133680,133680,126248,Central African Republic
Extended Credit Facility,2012-06-25,2014-05-01,41775,6963,0,Central African Republic
Extended Credit Facility,2006-12-22,2010-09-02,69620,69620,0,Central African Republic
Extended Credit Facility,1998-07-20,2002-01-19,49440,24480,0,Central African Republic
Extended Credit Facility,2021-12-10,2024-12-09,392560,168240,168240,Chad
Extended Credit Facility,2017-06-30,2020-07-22,224320,196280,192775,Chad
Extended Credit Facility,2014-08-01,2017-06-29,140200,98340,61896,Chad
Extended Credit Facility,2005-02-16,2008-05-31,25200,4200,0,Chad
Extended Credit Facility,2000-01-07,2003-12-06,47600,42400,0,Chad
Extended Credit Facility,1995-09-01,1999-04-30,49560,49560,0,Chad
Extended Credit Facility,2009-09-21,2013-12-23,13573,13573,467,Comoros
Extended Credit Facility,2021-07-15,2024-07-14,1066000,609200,609200,"Congo, Democratic Republic of"
Extended Credit Facility,2009-12-11,2012-12-10,346450,197972,0,"Congo, Democratic Republic of"
Extended Credit Facility,2002-06-12,2006-03-31,580000,553467,0,"Congo, Democratic Republic of"
Extended Credit Facility,2022-01-21,2025-01-20,324000,194400,194400,"Congo, Republic of"
Extended Credit Facility,2019-07-11,2021-04-10,324000,32400,32400,"Congo, Republic of"
Extended Credit Facility,2008-12-08,2011-08-04,8460,8460,0,"Congo, Republic of"
Extended Credit Facility,2004-12-06,2008-06-05,54990,23580,0,"Congo, Republic of"
Extended Credit Facility,1996-06-28,1999-06-27,69480,13896,0,"Congo, Republic of"
Extended Credit Facility,2016-12-12,2020-12-11,281324,281324,273452,Cote d'Ivoire
Extended Credit Facility,2011-11-04,2015-12-17,520320,520320,108942,Cote d'Ivoire
Extended Credit Facility,2009-03-27,2011-06-23,373980,230892,0,Cote d'Ivoire
Extended Credit Facility,2002-03-29,2005-03-28,292680,58540,0,Cote d'Ivoire
Extended Credit Facility,1998-03-17,2001-03-16,285840,123864,0,Cote d'Ivoire
Extended Credit Facility,1994-03-11,1997-06-13,333480,333480,0,Cote d'Ivoire
Extended Credit Facility,2008-09-17,2012-05-31,22260,22260,0,Djibouti
Extended Credit Facility,1999-10-18,2003-01-17,19082,13630,0,Djibouti
Extended Credit Facility,2003-12-29,2006-12-28,7688,7688,0,Dominica
Extended Credit Facility,1993-02-03,1996-02-02,12880,4600,0,Equatorial Guinea
Extended Credit Facility,2019-12-20,2021-09-19,1202800,133640,133640,Ethiopia
Extended Credit Facility,2001-03-22,2004-10-31,100277,100277,0,Ethiopia
Extended Credit Facility,1996-10-11,1999-10-22,88470,29490,0,Ethiopia
Extended Credit Facility,2020-03-23,2023-06-22,70550,65550,65550,"Gambia, The"
Extended Credit Facility,2012-05-25,2015-03-20,18660,10885,156,"Gambia, The"
Extended Credit Facility,2007-02-21,2011-03-31,24880,22548,0,"Gambia, The"
Extended Credit Facility,2002-07-18,2005-07-17,20220,2890,0,"Gambia, The"
Extended Credit Facility,1998-06-29,2001-12-31,20610,20610,0,"Gambia, The"
Extended Credit Facility,1988-11-23,1991-11-25,20520,18020,0,"Gambia, The"
Extended Credit Facility,2004-06-04,2007-09-30,98000,98000,0,Georgia
Extended Credit Facility,2001-01-12,2004-01-11,108000,49500,0,Georgia
Extended Credit Facility,1996-02-28,1999-08-13,172050,172050,0,Georgia
Extended Credit Facility,2015-04-03,2019-03-29,664200,664200,524718,Ghana
Extended Credit Facility,2009-07-15,2012-07-23,387450,387450,0,Ghana
Extended Credit Facility,2003-05-09,2006-10-31,184500,184500,0,Ghana
Extended Credit Facility,1999-05-03,2002-11-30,228800,176218,0,Ghana
Extended Credit Facility,1995-06-30,1999-05-02,164400,137000,0,Ghana
Extended Credit Facility,1988-11-09,1992-03-05,388550,388550,0,Ghana
Extended Credit Facility,2014-06-26,2017-05-26,14040,14040,8412,Grenada
Extended Credit Facility,2010-04-18,2013-04-17,8775,2525,0,Grenada
Extended Credit Facility,2006-04-17,2010-04-13,16380,16380,0,Grenada
Extended Credit Facility,2017-12-11,2020-12-10,120488,120488,120488,Guinea
Extended Credit Facility,2012-02-24,2016-11-07,173655,173655,54774,Guinea
Extended Credit Facility,2007-12-21,2010-12-20,69615,24480,0,Guinea
Extended Credit Facility,2001-05-02,2004-05-01,64260,25704,0,Guinea
Extended Credit Facility,1997-01-13,2001-01-12,70800,62940,0,Guinea
Extended Credit Facility,1991-11-06,1996-12-19,57900,46320,0,Guinea
Extended Credit Facility,2023-01-30,2026-01-29,28400,2370,2370,Guinea-Bissau
Extended Credit Facility,2015-07-10,2019-07-09,22720,17040,14295,Guinea-Bissau
Extended Credit Facility,2010-05-07,2013-05-06,22365,15123,0,Guinea-Bissau
Extended Credit Facility,2000-12-15,2003-12-14,14200,5080,0,Guinea-Bissau
Extended Credit Facility,1995-01-18,1998-07-24,10500,10500,0,Guinea-Bissau
Extended Credit Facility,2002-09-20,2006-09-12,54550,54550,0,Guyana
Extended Credit Facility,1998-07-15,2001-12-31,53760,24880,0,Guyana
Extended Credit Facility,1994-07-20,1998-04-17,53760,53760,0,Guyana
Extended Credit Facility,1990-07-13,1993-12-20,81524,81524,0,Guyana
Extended Credit Facility,2015-05-18,2016-11-17,49140,7020,3510,Haiti
Extended Credit Facility,2010-07-21,2014-12-24,40950,40950,1310,Haiti
Extended Credit Facility,2006-11-20,2010-01-29,180180,180180,0,Haiti
Extended Credit Facility,1996-10-18,1999-10-17,91050,15175,0,Haiti
Extended Credit Facility,2004-02-27,2007-02-26,71200,40684,0,Honduras
Extended Credit Facility,1999-03-26,2002-12-31,156750,108300,0,Honduras
Extended Credit Facility,1992-07-24,1997-07-24,47460,33900,0,Honduras
Extended Credit Facility,2021-04-02,2024-06-01,569930,450530,450530,Kenya
Extended Credit Facility,2011-01-31,2013-12-19,488520,488520,21576,Kenya
Extended Credit Facility,2003-11-21,2007-11-20,150000,150000,0,Kenya
Extended Credit Facility,2000-08-04,2003-08-03,190000,33600,0,Kenya
Extended Credit Facility,1996-04-26,1999-04-25,149550,24925,0,Kenya
Extended Credit Facility,1993-12-22,1994-12-21,45230,45230,0,Kenya
Extended Credit Facility,1989-05-15,1993-03-31,261400,216167,0,Kenya
Extended Credit Facility,2015-04-08,2018-04-07,66600,57084,43764,Kyrgyz Republic
Extended Credit Facility,2011-06-20,2014-07-07,66600,66600,5709,Kyrgyz Republic
Extended Credit Facility,2005-03-15,2008-05-30,17760,17760,0,Kyrgyz Republic
Extended Credit Facility,2001-12-06,2005-03-14,73400,73400,0,Kyrgyz Republic
Extended Credit Facility,1998-06-26,2001-07-25,73380,44690,0,Kyrgyz Republic
Extended Credit Facility,1994-07-20,1998-03-31,88150,88150,0,Kyrgyz Republic
Extended Credit Facility,2001-04-25,2005-04-24,31700,18120,0,Lao People's Democratic Republic
Extended Credit Facility,1993-06-04,1997-05-07,35190,35190,0,Lao People's Democratic Republic
Extended Credit Facility,2010-06-02,2013-09-17,50605,50605,1136,Lesotho
Extended Credit Facility,2001-03-09,2004-10-31,24500,24500,0,Lesotho
Extended Credit Facility,1991-05-22,1994-08-01,18120,18120,0,Lesotho
Extended Credit Facility,2019-12-11,2023-12-10,155000,85000,85000,Liberia
Extended Credit Facility,2012-11-19,2017-11-17,111664,111664,55464,Liberia
Extended Credit Facility,2008-03-14,2012-05-17,247900,247900,0,Liberia
Extended Credit Facility,2021-03-29,2024-07-28,219960,146640,146640,Madagascar
Extended Credit Facility,2016-07-27,2020-02-06,250550,250550,234924,Madagascar
Extended Credit Facility,2006-07-21,2009-07-20,73320,53030,0,Madagascar
Extended Credit Facility,2001-03-01,2005-03-01,91650,91650,0,Madagascar
Extended Credit Facility,1996-11-27,2000-11-30,81360,78680,0,Madagascar
Extended Credit Facility,1989-05-15,1992-05-14,76900,51267,0,Madagascar
Extended Credit Facility,2018-04-30,2020-09-24,105835,53850,53850,Malawi
Extended Credit Facility,2012-07-23,2017-06-29,138800,138800,64615,Malawi
Extended Credit Facility,2010-02-19,2012-07-22,52050,13880,0,Malawi
Extended Credit Facility,2005-08-05,2008-07-28,48580,48580,0,Malawi
Extended Credit Facility,2000-12-21,2004-12-20,45110,12880,0,Malawi
Extended Credit Facility,1995-10-18,1999-12-16,50960,50960,0,Malawi
Extended Credit Facility,1988-07-15,1994-03-31,66960,66960,0,Malawi
Extended Credit Facility,2019-08-28,2022-08-21,139950,80000,80000,Mali
Extended Credit Facility,2013-12-18,2018-12-17,186600,186600,160735,Mali
Extended Credit Facility,2011-12-27,2013-01-10,30000,6000,0,Mali
Extended Credit Facility,2008-05-28,2011-12-22,52990,52990,0,Mali
Extended Credit Facility,2004-06-23,2007-11-30,9330,9330,0,Mali
Extended Credit Facility,1999-08-06,2003-08-05,51315,51315,0,Mali
Extended Credit Facility,1996-04-10,1999-08-05,62010,62010,0,Mali
Extended Credit Facility,1992-08-28,1996-04-10,79235,79235,0,Mali
Extended Credit Facility,2023-01-25,2026-07-24,21470,5370,5370,Mauritania
Extended Credit Facility,2017-12-06,2021-03-05,136160,136160,136160,Mauritania
Extended Credit Facility,2010-03-15,2013-06-25,77280,77280,1104,Mauritania
Extended Credit Facility,2006-12-18,2009-11-01,16100,10310,0,Mauritania
Extended Credit Facility,2003-07-18,2004-11-07,6440,920,0,Mauritania
Extended Credit Facility,1999-07-21,2002-12-20,42490,42490,0,Mauritania
Extended Credit Facility,1995-01-25,1998-07-13,42750,42750,0,Mauritania
Extended Credit Facility,1992-12-09,1995-01-25,33900,33900,0,Mauritania
Extended Credit Facility,1989-05-24,1992-05-23,50850,16950,0,Mauritania
Extended Credit Facility,2021-12-20,2025-04-19,198088,102850,102850,"Moldova, Republic of"
Extended Credit Facility,2016-11-07,2020-03-19,43100,43100,40840,"Moldova, Republic of"
Extended Credit Facility,2010-01-29,2013-04-30,184800,170880,0,"Moldova, Republic of"
Extended Credit Facility,2006-05-05,2009-05-04,110880,88000,0,"Moldova, Republic of"
Extended Credit Facility,2000-12-21,2003-12-20,110880,27720,0,"Moldova, Republic of"
Extended Credit Facility,2001-09-28,2005-07-31,28490,12210,0,Mongolia
Extended Credit Facility,1997-07-30,2000-07-29,33390,17437,0,Mongolia
Extended Credit Facility,1993-06-25,1996-06-24,40810,29680,0,Mongolia
Extended Credit Facility,2022-05-09,2025-05-08,340800,113600,113600,Mozambique
Extended Credit Facility,2004-07-06,2007-07-05,11360,11360,0,Mozambique
Extended Credit Facility,1999-06-28,2003-06-27,87200,78800,0,Mozambique
Extended Credit Facility,1996-06-21,1999-06-27,75600,75600,0,Mozambique
Extended Credit Facility,1990-06-01,1995-12-31,130050,115350,0,Mozambique
Extended Credit Facility,2022-01-12,2025-03-11,282420,78500,78500,Nepal
Extended Credit Facility,2003-11-19,2007-11-18,49900,49900,0,Nepal
Extended Credit Facility,1992-10-05,1995-10-04,33570,16785,0,Nepal
Extended Credit Facility,2007-10-05,2011-10-31,78000,78000,0,Nicaragua
Extended Credit Facility,2002-12-13,2006-12-12,97500,97500,0,Nicaragua
Extended Credit Facility,1998-03-18,2002-03-17,148955,115320,0,Nicaragua
Extended Credit Facility,1994-06-24,1997-06-23,120120,20020,0,Nicaragua
Extended Credit Facility,2021-12-08,2024-12-07,197400,118440,118440,Niger
Extended Credit Facility,2017-01-23,2020-10-28,118440,118440,115620,Niger
Extended Credit Facility,2012-03-16,2016-12-31,120085,107745,44449,Niger
Extended Credit Facility,2008-06-02,2011-06-01,23030,13160,0,Niger
Extended Credit Facility,2005-01-31,2008-05-30,26320,26320,0,Niger
Extended Credit Facility,2000-12-22,2004-06-30,59200,59200,0,Niger
Extended Credit Facility,1996-06-12,1999-08-27,57960,48300,0,Niger
Extended Credit Facility,1988-12-12,1991-12-11,47180,23590,0,Niger
Extended Credit Facility,2000-12-18,2001-11-22,10335,1723,0,"North Macedonia, Republic of"
Extended Credit Facility,1997-04-11,2000-04-10,54560,27281,0,"North Macedonia, Republic of"
Extended Credit Facility,2001-12-06,2004-12-05,1033700,861420,0,Pakistan
Extended Credit Facility,1997-10-20,2000-10-19,682380,265370,0,Pakistan
Extended Credit Facility,1994-02-22,1995-12-13,606600,172200,0,Pakistan
Extended Credit Facility,2023-03-22,2026-05-21,228110,21940,21940,Papua New Guinea
Extended Credit Facility,2006-06-12,2009-08-07,8010,8010,0,Rwanda
Extended Credit Facility,2002-08-12,2006-06-11,4000,4000,0,Rwanda
Extended Credit Facility,1998-06-24,2002-04-30,71400,61880,0,Rwanda
